zona,bairro
1,Bela Vista
2,Perdizes
3,Santa Ifigênia
4,Mooca
5,Jardim Paulista
6,Vila Mariana
20,Valo Velho
246,Santo Amaro
247,São Miguel Paulista
248,Itaquera
249,Santana
250,Lapa
251,Pinheiros
252,Penha de França
253,Tatuapé
254,Vila Maria
255,Casa Verde
256,Tucuruvi
257,Vila Prudente
258,Indianópolis
259,Saúde
260,Ipiranga
280,Capela do Socorro
320,Jabaquara
325,Pirituba
326,Ermelino Matarazzo
327,Nossa Senhora do Ó
328,Campo Limpo
346,Butantã
347,Vila Matilde
348,Vila Formosa
349,Jaçanã
350,Sapopemba
351,Cidade Ademar
352,Itaim Paulista
353,Guaianases
371,Grajaú
372,Piraporinha
373,Capão Redondo
374,Rio Pequeno
375,São Mateus
376,Brasilândia
381,Parelheiros
389,Perus
390,Cangaíba
392,Ponte Rasa
397,Jardim Helena
398,Vila Jacuí
403,Jaraguá
404,Cidade Tiradentes
405,Conjunto José Bonifácio
408,Jardim São Luís
413,Cursino
417,Parque do Carmo
418,Pedreira
420,Vila Sabrina
421,Teotônio Vilela
422,Lauzane Paulista
